,train,val,test
0,slide_0,slide_38,slide_59
1,slide_1,slide_39,slide_60
2,slide_2,slide_40,slide_61
3,slide_3,slide_41,slide_62
4,slide_4,slide_42,slide_63
5,slide_5,slide_43,slide_64
6,slide_6,slide_44,slide_65
7,slide_7,slide_45,slide_66
8,slide_8,slide_46,slide_67
9,slide_9,slide_47,slide_68
10,slide_10,slide_48,slide_69
11,slide_11,,slide_70
12,slide_12,,slide_71
13,slide_13,,slide_72
14,slide_14,,slide_73
15,slide_15,,slide_74
16,slide_16,,slide_75
17,slide_17,,slide_76
18,slide_18,,slide_77
19,slide_19,,slide_78
20,slide_20,,
21,slide_21,,
22,slide_22,,
23,slide_23,,
24,slide_24,,
25,slide_25,,
26,slide_26,,
27,slide_27,,
28,slide_28,,
29,slide_29,,
30,slide_30,,
31,slide_31,,
32,slide_32,,
33,slide_33,,
34,slide_34,,
35,slide_35,,
36,slide_36,,
37,slide_37,,
38,slide_49,,
39,slide_50,,
40,slide_51,,
41,slide_52,,
42,slide_53,,
43,slide_54,,
44,slide_55,,
45,slide_56,,
46,slide_57,,
47,slide_58,,
48,slide_79,,
49,slide_80,,
50,slide_81,,
51,slide_82,,
52,slide_83,,
53,slide_84,,
54,slide_85,,
55,slide_86,,
56,slide_87,,
57,slide_88,,
58,slide_89,,
59,slide_90,,
60,slide_91,,
61,slide_92,,
62,slide_93,,
63,slide_94,,
64,slide_95,,
65,slide_96,,
66,slide_97,,
67,slide_98,,
68,slide_99,,
69,slide_100,,
70,slide_101,,
71,slide_102,,
72,slide_103,,
73,slide_104,,
74,slide_105,,
75,slide_106,,
76,slide_107,,
77,slide_108,,
78,slide_109,,
79,slide_110,,
80,slide_111,,
81,slide_112,,
82,slide_113,,
83,slide_114,,
84,slide_115,,
85,slide_116,,
86,slide_117,,
87,slide_118,,
88,slide_119,,
89,slide_120,,
90,slide_121,,
91,slide_122,,
92,slide_123,,
93,slide_124,,
94,slide_125,,
95,slide_126,,
96,slide_127,,
97,slide_128,,
98,slide_129,,
99,slide_130,,
100,slide_131,,
101,slide_132,,
102,slide_133,,
103,slide_134,,
104,slide_135,,
105,slide_136,,
106,slide_137,,
107,slide_138,,
108,slide_139,,
