,train,annot,val,test
0,N001a001,False,N004a045,N004a063
1,N003a001,False,N004a135,N005a001
2,N003a002,False,N004a115,N004a099
3,N003a003,False,N004a101,N004a079
4,N004a003,False,N011a003,N004a133
5,N004a004,False,N004a010,N012a009
6,N004a006,False,N004a012,N004a060
7,N004a007,False,N005a009,N004a062
8,N004a008,True,N004a023,N012a016
9,N004a009,False,N004a053,N012a001
10,N004a013,False,N004a104,N004a011
11,N004a014,False,N004a054,N004a094
12,N004a017,False,N004a081,N005a002
13,N004a018,False,N004a136,N004a134
14,N004a019,False,N011a007,N004a001
15,N004a020,False,N009a004,N004a128
16,N004a021,False,N005a013,N005a017
17,N004a022,False,N004a109,N004a044
18,N004a024,False,N005a020,N001a002
19,N004a025,False,N004a103,N005a023
20,N004a026,False,N004a129,N004a132
21,N004a027,False,N011a002,N004a015
22,N004a028,False,N004a111,N012a007
23,N004a030,False,N004a002,N005a019
24,N004a031,False,N011a009,N004a112
25,N004a033,False,N004a005,N004a089
26,N004a034,False,N004a016,N004a050
27,N004a035,False,N004a122,N004a097
28,N004a036,False,N006a002,N005a012
29,N004a037,False,N004a029,N004a043
30,N004a038,False,N004a106,N004a056
31,N004a039,False,N004a032,N005a003
32,N004a040,False,F012a02,F033a04
33,N004a041,False,F033a17,F034a06
34,N004a042,False,F033a28,F056a09
35,N004a046,False,F013a05,F033a07
36,N004a047,False,F007a12,F052a05
37,N004a048,False,F053a19,F006a08
38,N004a049,False,F033a14,F052a17
39,N004a051,False,F034a07,F052a11
40,N004a052,False,F053a12,F018a05
41,N004a055,False,F033a15,F033a02
42,N004a057,False,F010a02,F057a01
43,N004a058,False,F030a12,F053a04
44,N004a059,True,F053a05,F056a11
45,N004a061,False,F052a18,F017a08
46,N004a064,False,F050a02,F033a26
47,N004a065,False,F021a01,F010a01
48,N004a066,True,F052a08,F053a15
49,N004a067,False,F030a10,F007a13
50,N004a068,False,F052a19,F056a07
51,N004a069,False,F007a05,F007a04
52,N004a070,False,F010a05,F013a12
53,N004a071,False,F030a18,F007a21
54,N004a072,False,F053a16,F052a09
55,N004a073,False,F052a02,F056a03
56,N004a074,False,F021a04,F056a08
57,N004a075,False,F048a02,F030a13
58,N004a076,False,F017a04,F021a05
59,N004a077,False,F033a21,F012a03
60,N004a078,False,F017a10,F030a02
61,N004a080,False,F033a03,F013a09
62,N004a082,True,F030a15,F058a03
63,N004a083,False,,
64,N004a084,False,,
65,N004a085,False,,
66,N004a086,False,,
67,N004a087,False,,
68,N004a088,False,,
69,N004a090,False,,
70,N004a091,False,,
71,N004a092,False,,
72,N004a093,True,,
73,N004a095,False,,
74,N004a096,False,,
75,N004a098,False,,
76,N004a100,False,,
77,N004a102,True,,
78,N004a105,False,,
79,N004a107,False,,
80,N004a108,False,,
81,N004a110,False,,
82,N004a113,False,,
83,N004a114,False,,
84,N004a116,False,,
85,N004a117,False,,
86,N004a118,False,,
87,N004a119,False,,
88,N004a120,False,,
89,N004a121,False,,
90,N004a123,False,,
91,N004a124,False,,
92,N004a125,False,,
93,N004a126,True,,
94,N004a127,False,,
95,N004a130,False,,
96,N004a131,False,,
97,N004a137,False,,
98,N005a004,False,,
99,N005a005,False,,
100,N005a006,True,,
101,N005a007,False,,
102,N005a008,False,,
103,N005a010,True,,
104,N005a011,False,,
105,N005a014,False,,
106,N005a015,True,,
107,N005a016,False,,
108,N005a018,False,,
109,N005a021,False,,
110,N005a022,False,,
111,N006a001,False,,
112,N006a004,False,,
113,N006a005,False,,
114,N006a006,False,,
115,N006a007,False,,
116,N006a008,False,,
117,N006a009,False,,
118,N006a010,False,,
119,N007a001,False,,
120,N007a002,False,,
121,N007a003,False,,
122,N007a004,True,,
123,N009a001,False,,
124,N009a002,False,,
125,N009a003,False,,
126,N009a005,False,,
127,N009a006,True,,
128,N011a001,False,,
129,N011a004,True,,
130,N011a005,False,,
131,N011a006,False,,
132,N011a008,False,,
133,N011a010,False,,
134,N012a002,False,,
135,N012a003,False,,
136,N012a004,False,,
137,N012a005,False,,
138,N012a006,False,,
139,N012a008,False,,
140,N012a010,True,,
141,N012a011,False,,
142,N012a012,False,,
143,N012a013,False,,
144,N012a014,False,,
145,N012a015,False,,
146,N012a017,False,,
147,N012a018,False,,
148,N012a019,False,,
149,N012a020,False,,
150,N017a001,True,,
151,F005a02,True,,
152,F006a01,True,,
153,F006a10,False,,
154,F030a14,False,,
155,F030a17,False,,
156,F033a01,False,,
157,F007a01,False,,
158,F033a05,True,,
159,F033a09,False,,
160,F033a10,False,,
161,F033a11,False,,
162,F033a12,True,,
163,F033a13,False,,
164,F033a16,False,,
165,F007a02,False,,
166,F033a18,False,,
167,F033a19,False,,
168,F033a20,False,,
169,F033a22,False,,
170,F033a23,False,,
171,F033a24,False,,
172,F033a25,False,,
173,F007a03,True,,
174,F033a27,False,,
175,F033a29,False,,
176,F034a05,True,,
177,F034a08,False,,
178,F034a09,True,,
179,F034a10,False,,
180,F034a11,True,,
181,F048a01,False,,
182,F050a01,False,,
183,F050a03,False,,
184,F052a01,False,,
185,F052a03,True,,
186,F052a04,False,,
187,F052a06,False,,
188,F052a07,False,,
189,F052a10,False,,
190,F052a12,False,,
191,F052a13,False,,
192,F052a14,True,,
193,F052a15,False,,
194,F007a06,True,,
195,F052a16,True,,
196,F052a20,True,,
197,F053a01,False,,
198,F053a02,False,,
199,F053a03,False,,
200,F007a07,True,,
201,F053a06,False,,
202,F053a07,True,,
203,F053a08,False,,
204,F053a09,False,,
205,F053a10,False,,
206,F053a11,False,,
207,F053a13,False,,
208,F053a14,False,,
209,F007a08,True,,
210,F053a17,False,,
211,F053a18,False,,
212,F056a01,False,,
213,F056a02,False,,
214,F056a04,False,,
215,F056a05,False,,
216,F056a06,True,,
217,F007a09,False,,
218,F056a10,False,,
219,F056a12,False,,
220,F056a13,True,,
221,F056a14,True,,
222,F056a15,False,,
223,F056a16,False,,
224,F006a02,True,,
225,F007a10,False,,
226,F056a17,False,,
227,F056a18,False,,
228,F058a01,True,,
229,F058a02,True,,
230,F058a04,False,,
231,F058a05,False,,
232,F007a11,False,,
233,F007a15,False,,
234,F007a16,False,,
235,F007a17,True,,
236,F007a18,False,,
237,F007a19,False,,
238,F006a03,False,,
239,F007a22,False,,
240,F009a01,False,,
241,F009a02,False,,
242,F009a03,False,,
243,F009a04,False,,
244,F010a03,True,,
245,F010a04,True,,
246,F006a04,True,,
247,F011a01,False,,
248,F011a02,False,,
249,F012a01,True,,
250,F012a04,False,,
251,F012a06,True,,
252,F013a01,False,,
253,F013a02,False,,
254,F013a03,False,,
255,F006a05,False,,
256,F013a04,False,,
257,F013a06,False,,
258,F013a07,False,,
259,F013a08,True,,
260,F013a10,False,,
261,F013a11,True,,
262,F013a13,False,,
263,F006a06,True,,
264,F013a15,False,,
265,F015a01,False,,
266,F017a01,False,,
267,F017a02,False,,
268,F017a05,True,,
269,F017a06,False,,
270,F017a07,True,,
271,F017a09,True,,
272,F006a07,False,,
273,F018a01,False,,
274,F018a02,False,,
275,F018a03,False,,
276,F018a04,True,,
277,F018a06,False,,
278,F018a07,True,,
279,F018a08,True,,
280,F018a09,False,,
281,F018a10,True,,
282,F018a11,True,,
283,F018a12,False,,
284,F018a13,True,,
285,F021a02,False,,
286,F021a03,False,,
287,F030a01,True,,
288,F006a09,True,,
289,F030a03,True,,
290,F030a04,False,,
291,F030a05,False,,
292,F030a06,False,,
293,F030a07,True,,
294,F030a08,False,,
295,F030a09,False,,
296,F030a11,False,,
