,train,val,test
0,N001a001,N004a098,N012a005
1,N001a002,N003a001,N005a005
2,N003a003,N004a058,N005a021
3,N004a001,N004a041,N012a002
4,N004a003,N012a004,N004a078
5,N004a004,N004a115,N011a003
6,N004a005,N004a101,N012a010
7,N004a006,N004a018,N004a029
8,N004a008,N004a063,N004a130
9,N004a009,N009a006,N005a007
10,N004a010,N004a064,N004a021
11,N004a012,N004a091,N005a010
12,N004a014,N004a123,N004a119
13,N004a015,N004a074,N004a126
14,N004a016,N004a019,N004a023
15,N004a017,N004a072,N004a132
16,N004a020,N004a060,N005a009
17,N004a022,N011a009,N004a007
18,N004a024,N012a012,N005a020
19,N004a025,N004a093,N004a045
20,N004a026,N005a011,N004a109
21,N004a028,N006a006,N004a070
22,N004a030,N004a043,N009a004
23,N004a031,N006a005,N004a062
24,N004a032,N005a022,N004a107
25,N004a033,N005a012,N004a013
26,N004a034,N004a027,N004a099
27,N004a035,N004a137,N003a002
28,N004a036,N004a002,N011a002
29,N004a038,N004a128,N004a011
30,N004a039,N004a085,N004a037
31,N004a040,N004a044,N005a013
32,N004a042,F013a13,F030a02
33,N004a046,F018a13,F013a15
34,N004a047,F052a04,F006a05
35,N004a048,F033a02,F048a01
36,N004a049,F056a15,F033a15
37,N004a050,F011a01,F053a16
38,N004a051,F056a10,F033a14
39,N004a052,F017a04,F033a03
40,N004a053,F033a25,F018a09
41,N004a054,F052a15,F033a27
42,N004a055,F056a11,F052a10
43,N004a056,F056a16,F010a05
44,N004a057,F033a12,F056a08
45,N004a059,F006a02,F058a02
46,N004a061,F013a09,F050a02
47,N004a065,F056a09,F013a05
48,N004a066,F017a10,F034a09
49,N004a067,F012a03,F010a01
50,N004a068,F034a11,F030a11
51,N004a069,F033a23,F052a03
52,N004a071,F056a03,F033a01
53,N004a073,F006a08,F007a12
54,N004a075,F030a06,F052a16
55,N004a076,F015a01,F030a12
56,N004a077,F018a05,F007a17
57,N004a079,F006a06,F007a11
58,N004a080,F052a13,F033a29
59,N004a081,F052a17,F033a22
60,N004a082,F033a18,F018a10
61,N004a083,F030a18,F058a01
62,N004a084,F033a04,F056a05
63,N004a086,,
64,N004a087,,
65,N004a088,,
66,N004a089,,
67,N004a090,,
68,N004a092,,
69,N004a094,,
70,N004a095,,
71,N004a096,,
72,N004a097,,
73,N004a100,,
74,N004a102,,
75,N004a103,,
76,N004a104,,
77,N004a105,,
78,N004a106,,
79,N004a108,,
80,N004a110,,
81,N004a111,,
82,N004a112,,
83,N004a113,,
84,N004a114,,
85,N004a116,,
86,N004a117,,
87,N004a118,,
88,N004a120,,
89,N004a121,,
90,N004a122,,
91,N004a124,,
92,N004a125,,
93,N004a127,,
94,N004a129,,
95,N004a131,,
96,N004a133,,
97,N004a134,,
98,N004a135,,
99,N004a136,,
100,N005a001,,
101,N005a002,,
102,N005a003,,
103,N005a004,,
104,N005a006,,
105,N005a008,,
106,N005a014,,
107,N005a015,,
108,N005a016,,
109,N005a017,,
110,N005a018,,
111,N005a019,,
112,N005a023,,
113,N006a001,,
114,N006a002,,
115,N006a004,,
116,N006a007,,
117,N006a008,,
118,N006a009,,
119,N006a010,,
120,N007a001,,
121,N007a002,,
122,N007a003,,
123,N007a004,,
124,N009a001,,
125,N009a002,,
126,N009a003,,
127,N009a005,,
128,N011a001,,
129,N011a004,,
130,N011a005,,
131,N011a006,,
132,N011a007,,
133,N011a008,,
134,N011a010,,
135,N012a001,,
136,N012a003,,
137,N012a006,,
138,N012a007,,
139,N012a008,,
140,N012a009,,
141,N012a011,,
142,N012a013,,
143,N012a014,,
144,N012a015,,
145,N012a016,,
146,N012a017,,
147,N012a018,,
148,N012a019,,
149,N012a020,,
150,N017a001,,
151,F005a02,,
152,F006a01,,
153,F006a10,,
154,F030a13,,
155,F030a14,,
156,F030a15,,
157,F030a17,,
158,F007a01,,
159,F033a05,,
160,F033a07,,
161,F033a09,,
162,F033a10,,
163,F033a11,,
164,F033a13,,
165,F033a16,,
166,F007a02,,
167,F033a17,,
168,F033a19,,
169,F033a20,,
170,F033a21,,
171,F033a24,,
172,F033a26,,
173,F007a03,,
174,F033a28,,
175,F034a05,,
176,F034a06,,
177,F034a07,,
178,F034a08,,
179,F034a10,,
180,F007a04,,
181,F048a02,,
182,F050a01,,
183,F050a03,,
184,F052a01,,
185,F052a02,,
186,F052a05,,
187,F007a05,,
188,F052a06,,
189,F052a07,,
190,F052a08,,
191,F052a09,,
192,F052a11,,
193,F052a12,,
194,F052a14,,
195,F007a06,,
196,F052a18,,
197,F052a19,,
198,F052a20,,
199,F053a01,,
200,F053a02,,
201,F053a03,,
202,F053a04,,
203,F053a05,,
204,F007a07,,
205,F053a06,,
206,F053a07,,
207,F053a08,,
208,F053a09,,
209,F053a10,,
210,F053a11,,
211,F053a12,,
212,F053a13,,
213,F053a14,,
214,F053a15,,
215,F007a08,,
216,F053a17,,
217,F053a18,,
218,F053a19,,
219,F056a01,,
220,F056a02,,
221,F056a04,,
222,F056a06,,
223,F007a09,,
224,F056a07,,
225,F056a12,,
226,F056a13,,
227,F056a14,,
228,F007a10,,
229,F056a17,,
230,F056a18,,
231,F057a01,,
232,F058a03,,
233,F058a04,,
234,F058a05,,
235,F007a13,,
236,F007a15,,
237,F007a16,,
238,F007a18,,
239,F007a19,,
240,F007a21,,
241,F006a03,,
242,F007a22,,
243,F009a01,,
244,F009a02,,
245,F009a03,,
246,F009a04,,
247,F010a02,,
248,F010a03,,
249,F010a04,,
250,F006a04,,
251,F011a02,,
252,F012a01,,
253,F012a02,,
254,F012a04,,
255,F012a06,,
256,F013a01,,
257,F013a02,,
258,F013a03,,
259,F013a04,,
260,F013a06,,
261,F013a07,,
262,F013a08,,
263,F013a10,,
264,F013a11,,
265,F013a12,,
266,F017a01,,
267,F017a02,,
268,F017a05,,
269,F017a06,,
270,F017a07,,
271,F017a08,,
272,F017a09,,
273,F006a07,,
274,F018a01,,
275,F018a02,,
276,F018a03,,
277,F018a04,,
278,F018a06,,
279,F018a07,,
280,F018a08,,
281,F018a11,,
282,F018a12,,
283,F021a01,,
284,F021a02,,
285,F021a03,,
286,F021a04,,
287,F021a05,,
288,F030a01,,
289,F006a09,,
290,F030a03,,
291,F030a04,,
292,F030a05,,
293,F030a07,,
294,F030a08,,
295,F030a09,,
296,F030a10,,
