,train,annot,val,test
0,N001a001,True,N004a104,N012a012
1,N001a002,False,N012a014,N005a004
2,N003a001,False,N004a102,N004a012
3,N003a002,False,N004a103,N012a015
4,N004a005,False,N004a047,N004a070
5,N004a006,False,N004a029,N012a005
6,N004a008,False,N004a055,N004a137
7,N004a009,True,N005a011,N004a007
8,N004a010,False,N003a003,N004a019
9,N004a011,False,N004a027,N004a126
10,N004a013,False,N004a114,N004a004
11,N004a017,False,N004a035,N004a063
12,N004a018,False,N004a089,N004a086
13,N004a020,False,N004a065,N012a001
14,N004a021,False,N005a020,N004a057
15,N004a022,False,N004a108,N012a018
16,N004a023,True,N004a090,N004a002
17,N004a024,False,N004a093,N005a008
18,N004a025,False,N005a010,N004a107
19,N004a026,False,N004a034,N004a119
20,N004a028,False,N004a040,N012a011
21,N004a032,False,N012a007,N004a033
22,N004a036,False,N004a080,N004a016
23,N004a037,False,N004a014,N004a030
24,N004a038,True,N005a017,N009a003
25,N004a039,False,N004a031,N004a122
26,N004a041,True,N004a069,N004a056
27,N004a042,False,N004a118,N012a006
28,N004a043,False,N004a015,N004a001
29,N004a044,False,N004a058,N005a014
30,N004a045,True,N006a006,N011a004
31,N004a046,False,N009a004,N004a003
32,N004a048,False,F013a12,F053a05
33,N004a049,False,F007a09,F056a18
34,N004a050,True,F056a17,F007a22
35,N004a051,False,F033a13,F052a15
36,N004a052,False,F033a16,F013a04
37,N004a053,False,F018a06,F030a12
38,N004a054,False,F052a02,F012a04
39,N004a059,False,F007a03,F033a21
40,N004a060,False,F030a18,F056a02
41,N004a061,False,F007a10,F053a17
42,N004a062,False,F048a01,F007a21
43,N004a064,False,F007a01,F007a07
44,N004a066,False,F018a12,F006a02
45,N004a067,False,F013a01,F056a16
46,N004a068,False,F021a01,F056a03
47,N004a071,False,F053a15,F007a02
48,N004a072,False,F050a02,F010a04
49,N004a073,False,F052a07,F007a08
50,N004a074,False,F052a13,F017a02
51,N004a075,False,F018a10,F030a09
52,N004a076,False,F058a03,F033a14
53,N004a077,True,F017a09,F010a05
54,N004a078,False,F033a17,F052a08
55,N004a079,False,F006a10,F009a01
56,N004a081,False,F053a08,F017a10
57,N004a082,False,F012a06,F013a11
58,N004a083,True,F052a14,F053a19
59,N004a084,False,F034a07,F033a05
60,N004a085,False,F018a08,F056a14
61,N004a087,False,F013a06,F056a04
62,N004a088,False,F033a18,F018a11
63,N004a091,False,,
64,N004a092,False,,
65,N004a094,True,,
66,N004a095,False,,
67,N004a096,False,,
68,N004a097,True,,
69,N004a098,False,,
70,N004a099,False,,
71,N004a100,False,,
72,N004a101,False,,
73,N004a105,False,,
74,N004a106,False,,
75,N004a109,False,,
76,N004a110,False,,
77,N004a111,False,,
78,N004a112,False,,
79,N004a113,False,,
80,N004a115,False,,
81,N004a116,True,,
82,N004a117,False,,
83,N004a120,False,,
84,N004a121,False,,
85,N004a123,False,,
86,N004a124,False,,
87,N004a125,False,,
88,N004a127,False,,
89,N004a128,False,,
90,N004a129,False,,
91,N004a130,False,,
92,N004a131,False,,
93,N004a132,False,,
94,N004a133,False,,
95,N004a134,False,,
96,N004a135,False,,
97,N004a136,True,,
98,N005a001,False,,
99,N005a002,True,,
100,N005a003,False,,
101,N005a005,False,,
102,N005a006,False,,
103,N005a007,False,,
104,N005a009,False,,
105,N005a012,False,,
106,N005a013,False,,
107,N005a015,False,,
108,N005a016,False,,
109,N005a018,False,,
110,N005a019,True,,
111,N005a021,False,,
112,N005a022,False,,
113,N005a023,False,,
114,N006a001,True,,
115,N006a002,True,,
116,N006a004,False,,
117,N006a005,False,,
118,N006a007,False,,
119,N006a008,False,,
120,N006a009,True,,
121,N006a010,False,,
122,N007a001,False,,
123,N007a002,False,,
124,N007a003,True,,
125,N007a004,False,,
126,N009a001,True,,
127,N009a002,False,,
128,N009a005,False,,
129,N009a006,False,,
130,N011a001,False,,
131,N011a002,False,,
132,N011a003,False,,
133,N011a005,False,,
134,N011a006,False,,
135,N011a007,False,,
136,N011a008,False,,
137,N011a009,False,,
138,N011a010,True,,
139,N012a002,False,,
140,N012a003,False,,
141,N012a004,False,,
142,N012a008,False,,
143,N012a009,False,,
144,N012a010,False,,
145,N012a013,True,,
146,N012a016,False,,
147,N012a017,False,,
148,N012a019,False,,
149,N012a020,False,,
150,N017a001,False,,
151,F005a02,False,,
152,F006a01,False,,
153,F030a13,True,,
154,F030a14,False,,
155,F030a15,True,,
156,F030a17,True,,
157,F033a01,True,,
158,F033a02,True,,
159,F033a03,False,,
160,F033a04,False,,
161,F033a07,False,,
162,F033a09,True,,
163,F033a10,True,,
164,F033a11,True,,
165,F033a12,False,,
166,F033a15,True,,
167,F033a19,False,,
168,F033a20,False,,
169,F033a22,False,,
170,F033a23,False,,
171,F033a24,True,,
172,F033a25,False,,
173,F033a26,True,,
174,F033a27,True,,
175,F033a28,True,,
176,F033a29,False,,
177,F034a05,False,,
178,F034a06,False,,
179,F034a08,False,,
180,F034a09,False,,
181,F034a10,False,,
182,F034a11,True,,
183,F007a04,False,,
184,F048a02,False,,
185,F050a01,False,,
186,F050a03,False,,
187,F052a01,True,,
188,F052a03,True,,
189,F052a04,True,,
190,F052a05,False,,
191,F007a05,False,,
192,F052a06,False,,
193,F052a09,True,,
194,F052a10,False,,
195,F052a11,False,,
196,F052a12,False,,
197,F007a06,True,,
198,F052a16,True,,
199,F052a17,False,,
200,F052a18,False,,
201,F052a19,True,,
202,F052a20,True,,
203,F053a01,False,,
204,F053a02,True,,
205,F053a03,True,,
206,F053a04,True,,
207,F053a06,True,,
208,F053a07,False,,
209,F053a09,False,,
210,F053a10,True,,
211,F053a11,False,,
212,F053a12,True,,
213,F053a13,False,,
214,F053a14,True,,
215,F053a16,True,,
216,F053a18,True,,
217,F056a01,True,,
218,F056a05,False,,
219,F056a06,False,,
220,F056a07,False,,
221,F056a08,True,,
222,F056a09,True,,
223,F056a10,False,,
224,F056a11,False,,
225,F056a12,True,,
226,F056a13,True,,
227,F056a15,False,,
228,F057a01,False,,
229,F058a01,False,,
230,F058a02,False,,
231,F058a04,True,,
232,F058a05,False,,
233,F007a11,True,,
234,F007a12,False,,
235,F007a13,False,,
236,F007a15,True,,
237,F007a16,True,,
238,F007a17,False,,
239,F007a18,True,,
240,F007a19,False,,
241,F006a03,False,,
242,F009a02,True,,
243,F009a03,True,,
244,F009a04,False,,
245,F010a01,False,,
246,F010a02,True,,
247,F010a03,False,,
248,F006a04,True,,
249,F011a01,True,,
250,F011a02,False,,
251,F012a01,False,,
252,F012a02,True,,
253,F012a03,False,,
254,F013a02,False,,
255,F013a03,False,,
256,F006a05,True,,
257,F013a05,True,,
258,F013a07,True,,
259,F013a08,True,,
260,F013a09,True,,
261,F013a10,True,,
262,F013a13,False,,
263,F006a06,True,,
264,F013a15,False,,
265,F015a01,False,,
266,F017a01,False,,
267,F017a04,False,,
268,F017a05,True,,
269,F017a06,True,,
270,F017a07,False,,
271,F017a08,False,,
272,F006a07,False,,
273,F018a01,False,,
274,F018a02,False,,
275,F018a03,True,,
276,F018a04,True,,
277,F018a05,True,,
278,F018a07,False,,
279,F018a09,False,,
280,F006a08,True,,
281,F018a13,True,,
282,F021a02,False,,
283,F021a03,False,,
284,F021a04,True,,
285,F021a05,True,,
286,F030a01,True,,
287,F006a09,True,,
288,F030a02,False,,
289,F030a03,True,,
290,F030a04,False,,
291,F030a05,False,,
292,F030a06,False,,
293,F030a07,False,,
294,F030a08,False,,
295,F030a10,False,,
296,F030a11,True,,
